EPI,Between-EPI,Within-EPI,Gini,Median Income,Rurality (%),Poverty (%)
0.9045559808351864,0.8690331975772326,0.0355227832579538,0.314,22020,0.5329999999999999,11.8
0.9067953620191351,0.8788769184923616,0.0279184435267735,0.306,21630,0.371,11.8
0.8911265241239194,0.8613465740000779,0.0297799501238416,0.313,21400,0.42500000000000004,12.6
0.8972747082723392,0.8607493900473782,0.0365253182249611,0.338,20490,0.19799999999999995,15.0
0.9060381745045164,0.8761948677642162,0.0298433067403002,0.303,20540,0.508,12.1
0.8932602145455691,0.8561034686293723,0.0371567459161969,0.32,23120,0.15400000000000003,10.3
0.894333738348427,0.855233420966226,0.039100317382200996,0.333,22050,0.2509999999999999,13.2
0.9092931680877069,0.8797506984190018,0.0295424696687051,0.321,20620,0.605,15.0
0.9024408275294551,0.8753578417698706,0.0270829857595844,0.339,19650,0.3540000000000001,17.0
0.9200551061153224,0.8786972850754666,0.0413578210398558,0.309,20170,0.63,14.5
0.8861922656900328,0.8532355452229254,0.0329567204671074,0.308,21050,0.17099999999999993,11.4
0.8890111424697497,0.8585854150018737,0.030425727467875998,0.305,21140,0.48,12.0
0.8913502383771433,0.8486177942121681,0.0427324441649752,0.36,21830,0.33499999999999996,14.4
0.8925683233162759,0.8497415534448837,0.0428267698713922,0.317,20000,0.5509999999999999,14.9
0.8834949637010091,0.8536672735533254,0.029827690147683703,0.291,20690,0.49,11.5
0.8909843746769628,0.8497801917023013,0.0412041829746615,0.35,21960,0.23199999999999998,15.4
0.8892314883936046,0.8532015468300617,0.0360299415635429,0.314,20680,0.588,14.5
0.8927744415259361,0.8634565018903329,0.0293179396356033,0.311,21790,0.31599999999999995,11.2
0.8913306701140641,0.8498492812622374,0.0414813888518267,0.359,21970,0.2490000000000001,15.3
0.8962422642831692,0.8648586703350938,0.0313835939480754,0.326,20200,0.515,15.7
0.8931199586283147,0.8359195080513129,0.0572004505770019,0.384,19910,0.08499999999999996,19.1
0.8894147110339348,0.8442223110199771,0.0451924000139576,0.337,22290,0.33599999999999997,12.9
0.8914866289864866,0.8589761647042188,0.0325104642822678,0.317,20010,0.5820000000000001,15.4
0.8761292636005622,0.8386741802822198,0.0374550833183424,0.351,19110,0.17900000000000005,19.3
0.9061128343149815,0.8694278241211577,0.0366850101938238,0.331,21960,0.31200000000000006,13.2
0.915471992886195,0.8793183177096049,0.0361536751765901,0.34,22180,0.21599999999999997,12.3
0.9117736886445396,0.8765303339650085,0.0352433546795311,0.322,20290,0.378,15.4
0.890770880508342,0.8598269702817664,0.0309439102265756,0.38,19080,0.125,21.0
0.8952797389276097,0.8488332277679961,0.0464465111596136,0.352,23180,0.19999999999999996,13.7
0.8987892286115763,0.8602103991595528,0.0385788294520235,0.374,23720,0.21099999999999997,12.9
0.8983396938091264,0.8491359522142568,0.0492037415948697,0.384,23430,0.05400000000000005,14.2
0.8924200120484586,0.8573883341686502,0.0350316778798083,0.303,20610,0.5740000000000001,13.2
0.8945799160723678,0.8622386390606707,0.0323412770116971,0.317,20950,0.4079999999999999,13.1
0.8900489344408589,0.8558890243758114,0.034159910065047504,0.312,21020,0.352,13.1
0.9056833417960668,0.872357655991205,0.0333256858048618,0.318,23390,0.22799999999999998,10.0
0.9054273654979413,0.8736716760446929,0.0317556894532484,0.369,27510,0.1359999999999999,8.9
0.8850044344187173,0.837557707643589,0.0474467267751285,0.507,30490,0.0,15.2
0.8899012913351347,0.8456728864942142,0.0442284048409206,0.35,21150,0.2340000000000001,14.9
0.8957664784719034,0.8551185681006968,0.0406479103712067,0.331,23890,0.16299999999999992,11.8
0.9000368849926169,0.8484246551987324,0.0516122297938845,0.383,28380,0.06999999999999995,9.7
0.8861601544418352,0.8555088681970505,0.0306512862447847,0.307,20930,0.44799999999999995,12.3
0.8834350360921784,0.8400783434494195,0.043356692642759,0.35,20280,0.43200000000000005,16.4
0.9057499287745869,0.874763516532359,0.0309864122422279,0.333,20290,0.32599999999999996,15.6
0.8991726704538558,0.870938635434334,0.0282340350195219,0.338,19990,0.30599999999999994,17.0
0.8951939812362135,0.8642188145055903,0.0309751667306232,0.363,22000,0.04500000000000004,15.6
0.8951149213445897,0.8584893444058546,0.036625576938735104,0.372,19810,0.08999999999999997,20.0
0.8862034637846605,0.8578500276529076,0.0283534361317529,0.291,21480,0.32299999999999995,9.2
0.8928062230687963,0.8582183225739685,0.0345879004948279,0.326,20990,0.397,14.3
0.9020776775560934,0.8729719069801212,0.0291057705759722,0.339,21030,0.3540000000000001,15.5
0.8918367351231999,0.8595948939610158,0.0322418411621841,0.327,20240,0.31099999999999994,15.4
0.8934565114532442,0.8590687422908438,0.0343877691624004,0.327,20760,0.569,14.5
0.8966331027282425,0.8613779626028097,0.0352551401254328,0.35,22060,0.18599999999999994,14.5
0.8989149729997348,0.8550772736324103,0.0438376993673245,0.353,24490,0.039000000000000035,13.1
0.8875483607461134,0.839125942172629,0.048422418573484394,0.435,30470,0.0,11.9
0.8670587270472042,0.8257972636095827,0.0412614634376215,0.411,16600,0.0,28.4
0.8925507478959052,0.8465364642470511,0.046014283648854,0.401,23530,0.0,16.6
0.8903552132670542,0.8446130867560327,0.0457421265110215,0.367,22220,0.040000000000000036,17.2
