year,state,poverty_rate,value,household_income,gini
2016,MINNESOTA,0.1083525326265966,0.3840736743872163,63217,0.449
2016,HAWAII,0.10798312120983075,0.1713731192171733,71977,0.4369
2020,VERMONT,0.10784447726265048,0.2582797688443503,63477,0.4485
2020,WYOMING,0.10762130904035931,0.32639932739005084,65304,0.4393
2020,NORTH DAKOTA,0.10530929194038938,0.3239250867928746,65315,0.4508
2020,NEBRASKA,0.10367660942931863,0.3892223401971674,63015,0.4432
2016,CONNECTICUT,0.10359137297998203,0.335645615456446,71755,0.4947
2020,ALASKA,0.10336995878767662,0.36997808575176694,77790,0.423
2020,WASHINGTON,0.10187193291549751,0.3207859187303717,77006,0.4574
2016,ALASKA,0.10127888477242637,0.3778225905769062,74444,0.4174
2020,VIRGINIA,0.10013936037162766,0.4355728988547377,76398,0.4735
2016,MARYLAND,0.09911998546969936,0.526175691164174,76067,0.4513
2020,MASSACHUSETTS,0.09845134993308302,0.2520268208051807,84385,0.4826
2020,CONNECTICUT,0.09782588943836559,0.3604091901376677,79855,0.4965
2020,COLORADO,0.0978161958063727,0.3873006628757863,75231,0.4565
2020,NEW JERSEY,0.0967092168369408,0.2853321010233778,85245,0.4788
2020,MINNESOTA,0.09333377883627329,0.39240611870123276,73382,0.4491
2020,HAWAII,0.09262675913105096,0.404447577490641,83173,0.4414
2020,UTAH,0.09134607480410528,0.4125412070434282,74197,0.4245
2020,MARYLAND,0.09017266810691055,0.5157756690502153,87063,0.4526
2016,NEW HAMPSHIRE,0.08533284789530719,0.2235781870457699,68485,0.4344
2020,NEW HAMPSHIRE,0.07420797245519017,0.22217886572751533,77923,0.4404
