polling_id,divisiveness_ciro,divisiveness_haddad,divisiveness_alckmin,divisiveness_bolsonaro,divisiveness_amoedo,rate_ciro,rate_haddad,rate_alckmin,rate_bolsonaro,rate_amoedo,value_ciro,value_haddad,value_alckmin,value_bolsonaro,value_amoedo,candidate,value,rate
BA-EUCLIDES DA CUNHA-102,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.09122457394172623,0.7619227597581089,0.011166849917537108,0.13224986256184718,0.0034359538207806486,2655,22175,325,3849,100,FERNANDO HADDAD,25434,0.8447588680749303
BA-EUCLIDES DA CUNHA-102,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.09122457394172623,0.7619227597581089,0.011166849917537108,0.13224986256184718,0.0034359538207806486,2655,22175,325,3849,100,JAIR MESSIAS BOLSONARO,4674,0.15524113192506975
BA-EUNÁPOLIS-188,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.05158150851581508,0.5757299270072993,0.0482360097323601,0.32232360097323604,0.0021289537712895377,848,9465,793,5299,35,FERNANDO HADDAD,11757,0.6461665292662819
BA-EUNÁPOLIS-188,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.05158150851581508,0.5757299270072993,0.0482360097323601,0.32232360097323604,0.0021289537712895377,848,9465,793,5299,35,JAIR MESSIAS BOLSONARO,6438,0.35383347073371807
BA-EUNÁPOLIS-203,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.09572635771570052,0.33661661015124605,0.029980085042252004,0.5285806555788793,0.009096291511922063,3557,12508,1114,19641,338,FERNANDO HADDAD,17427,0.4412904206021625
BA-EUNÁPOLIS-203,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.09572635771570052,0.33661661015124605,0.029980085042252004,0.5285806555788793,0.009096291511922063,3557,12508,1114,19641,338,JAIR MESSIAS BOLSONARO,22064,0.5587095793978375
BA-FEIRA DA MATA-125,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.05822328931572629,0.615546218487395,0.022809123649459785,0.2992196878751501,0.004201680672268907,194,2051,76,997,14,FERNANDO HADDAD,2192,0.6568774348216961
BA-FEIRA DA MATA-125,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.05822328931572629,0.615546218487395,0.022809123649459785,0.2992196878751501,0.004201680672268907,194,2051,76,997,14,JAIR MESSIAS BOLSONARO,1145,0.34312256517830386
BA-FEIRA DE SANTANA-154,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.13011200833550404,0.4593774420421985,0.024459494660067724,0.3787574889294087,0.0072935660328210476,9990,35271,1878,29081,560,FERNANDO HADDAD,50246,0.6069676982918992
BA-FEIRA DE SANTANA-154,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.13011200833550404,0.4593774420421985,0.024459494660067724,0.3787574889294087,0.0072935660328210476,9990,35271,1878,29081,560,JAIR MESSIAS BOLSONARO,32536,0.3930323017081008
BA-FEIRA DE SANTANA-155,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.15089584226318045,0.39350192884697816,0.024569224174882127,0.41906558079725675,0.011967423917702528,8801,22951,1433,24442,698,FERNANDO HADDAD,35106,0.5623258049014896
BA-FEIRA DE SANTANA-155,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.15089584226318045,0.39350192884697816,0.024569224174882127,0.41906558079725675,0.011967423917702528,8801,22951,1433,24442,698,JAIR MESSIAS BOLSONARO,27324,0.43767419509851035
BA-FEIRA DE SANTANA-156,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.10429827055493059,0.5416537895738816,0.024538588011323602,0.324539824212231,0.004969527647633293,8437,43816,1985,26253,402,FERNANDO HADDAD,58652,0.6651394874121116
BA-FEIRA DE SANTANA-156,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.10429827055493059,0.5416537895738816,0.024538588011323602,0.324539824212231,0.004969527647633293,8437,43816,1985,26253,402,JAIR MESSIAS BOLSONARO,29528,0.3348605125878884
BA-FEIRA DE SANTANA-157,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.10634118156868409,0.5330925899176657,0.028658096201068902,0.3267658529539217,0.005142279358659541,7362,36906,1984,22622,356,FERNANDO HADDAD,50822,0.6635592113852984
BA-FEIRA DE SANTANA-157,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.10634118156868409,0.5330925899176657,0.028658096201068902,0.3267658529539217,0.005142279358659541,7362,36906,1984,22622,356,JAIR MESSIAS BOLSONARO,25768,0.33644078861470167
BA-FILADÉLFIA-149,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.08145542486534023,0.7058370891502693,0.024513575904144224,0.18588545674398152,0.0023084533362647025,741,6421,223,1691,21,FERNANDO HADDAD,7417,0.7910622866894198
BA-FILADÉLFIA-149,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.08145542486534023,0.7058370891502693,0.024513575904144224,0.18588545674398152,0.0023084533362647025,741,6421,223,1691,21,JAIR MESSIAS BOLSONARO,1959,0.2089377133105802
BA-FIRMINO ALVES-137,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0530827563468513,0.6745796241345203,0.022090339597757996,0.24727992087042533,0.002967359050445104,161,2046,67,750,9,FERNANDO HADDAD,2258,0.7297996121525533
BA-FIRMINO ALVES-137,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0530827563468513,0.6745796241345203,0.022090339597757996,0.24727992087042533,0.002967359050445104,161,2046,67,750,9,JAIR MESSIAS BOLSONARO,836,0.27020038784744665
BA-FLORESTA AZUL-29,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0723064317902499,0.677795985251946,0.03338795575583777,0.2111839410077837,0.005325686194182712,353,3309,163,1031,26,FERNANDO HADDAD,3691,0.7465614886731392
BA-FLORESTA AZUL-29,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0723064317902499,0.677795985251946,0.03338795575583777,0.2111839410077837,0.005325686194182712,353,3309,163,1031,26,JAIR MESSIAS BOLSONARO,1253,0.25343851132686085
BA-FORMOSA DO RIO PRETO-187,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.07271827850605986,0.6701294418336219,0.0201170747794542,0.23332508863055487,0.0037101162503091764,882,8128,244,2830,45,FERNANDO HADDAD,8943,0.7315935863874345
BA-FORMOSA DO RIO PRETO-187,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.07271827850605986,0.6701294418336219,0.0201170747794542,0.23332508863055487,0.0037101162503091764,882,8128,244,2830,45,JAIR MESSIAS BOLSONARO,3281,0.26840641361256545
BA-FÁTIMA-82,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.14441926903753324,0.7602206679144912,0.010737858339079894,0.08176534331592947,0.0028568613929662104,1466,7717,109,830,29,FERNANDO HADDAD,9416,0.8866290018832391
BA-FÁTIMA-82,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.14441926903753324,0.7602206679144912,0.010737858339079894,0.08176534331592947,0.0028568613929662104,1466,7717,109,830,29,JAIR MESSIAS BOLSONARO,1204,0.11337099811676082
BA-GANDU-151,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.08702619843924192,0.5451505016722408,0.028428093645484948,0.3359113712374582,0.003483835005574136,1249,7824,408,4821,50,FERNANDO HADDAD,9436,0.6306643496858708
BA-GANDU-151,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.08702619843924192,0.5451505016722408,0.028428093645484948,0.3359113712374582,0.003483835005574136,1249,7824,408,4821,50,JAIR MESSIAS BOLSONARO,5526,0.3693356503141291
BA-GAVIÃO-191,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.1231681786461968,0.6346824842986741,0.019539427773900907,0.21912072575017447,0.0034891835310537334,353,1819,56,628,10,FERNANDO HADDAD,2108,0.7286553750432078
BA-GAVIÃO-191,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.1231681786461968,0.6346824842986741,0.019539427773900907,0.21912072575017447,0.0034891835310537334,353,1819,56,628,10,JAIR MESSIAS BOLSONARO,785,0.27134462495679224
BA-GENTIO DO OURO-68,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.09805423624942547,0.7734027884173433,0.010265052857361729,0.11536693733721465,0.0029109851386548186,640,5048,67,753,19,FERNANDO HADDAD,5661,0.8473282442748091
