polarization2,year,state,N
4.485489731436534,2012,LOUISIANA,589
3.822360083990964,2012,MAINE,312
4.541063831071284,2012,MARYLAND,911
3.6829611381899463,2012,MASSACHUSETTS,939
4.27212018737685,2012,MICHIGAN,1465
4.302661052049085,2012,MINNESOTA,832
4.892724805951286,2012,MISSISSIPPI,363
4.113326756963182,2012,MISSOURI,974
3.8190567485930664,2012,MONTANA,205
4.24575904651832,2012,NEBRASKA,450
4.302368821298264,2012,NEVADA,558
3.7229525564713466,2012,NEW HAMPSHIRE,280
4.139660860450681,2012,NEW JERSEY,1254
4.194376231381674,2012,NEW MEXICO,388
4.336199135924417,2012,NEW YORK,2362
4.3695374564334175,2012,NORTH CAROLINA,1447
3.8753929648813186,2012,NORTH DAKOTA,85
4.354294795486053,2012,OHIO,1684
4.6263314215232265,2012,OKLAHOMA,529
4.148627310112052,2012,OREGON,965
4.428726404805365,2012,PENNSYLVANIA,1877
3.79894602634484,2012,RHODE ISLAND,199
4.376898446813634,2012,SOUTH CAROLINA,767
4.563967004113103,2012,SOUTH DAKOTA,141
4.21765338860439,2012,TENNESSEE,871
4.306639666928647,2012,TEXAS,3062
4.2414386055089235,2012,UTAH,465
4.025687145668583,2012,VERMONT,124
4.261765870823752,2012,VIRGINIA,1316
4.0633150760562184,2012,WASHINGTON,1193
4.204610452803605,2012,WEST VIRGINIA,288
4.294782785570713,2012,WISCONSIN,944
3.9115643172968326,2012,WYOMING,122
4.366496473795466,2013,ALABAMA,152
4.338585685840762,2013,ARIZONA,296
4.070089084213871,2013,ARKANSAS,123
4.359460142169039,2013,CALIFORNIA,1165
4.284345623841779,2013,COLORADO,223
4.29856920778635,2013,CONNECTICUT,141
4.680685110154434,2013,DELAWARE,46
4.524939764359538,2013,FLORIDA,995
4.5902094119773205,2013,GEORGIA,422
4.260883859522905,2013,IDAHO,80
4.23782812778572,2013,ILLINOIS,500
4.560827775561483,2013,INDIANA,289
4.1659243207365435,2013,IOWA,160
4.447793417760108,2013,KANSAS,131
4.636058725600309,2013,KENTUCKY,174
4.684181696392546,2013,LOUISIANA,120
4.199224254116498,2013,MAINE,73
4.524019490963504,2013,MARYLAND,232
4.0958323921408475,2013,MASSACHUSETTS,253
4.318521657054324,2013,MICHIGAN,455
4.586002965972176,2013,MINNESOTA,227
4.624308028338628,2013,MISSISSIPPI,100
4.285966603617479,2013,MISSOURI,300
4.698103575659198,2013,MONTANA,40
4.629217804828235,2013,NEBRASKA,89
4.364511423698879,2013,NEVADA,167
3.9456687358117657,2013,NEW HAMPSHIRE,78
4.5136250338617065,2013,NEW JERSEY,357
4.095055964648677,2013,NEW MEXICO,105
4.4647211340633115,2013,NEW YORK,727
4.4143972563325224,2013,NORTH CAROLINA,354
4.466529525088109,2013,OHIO,589
4.148001078476577,2013,OKLAHOMA,121
4.286521232209022,2013,OREGON,213
4.603837861674626,2013,PENNSYLVANIA,687
3.9775373167739385,2013,RHODE ISLAND,46
4.3068299293443095,2013,SOUTH CAROLINA,152
3.995277141480042,2013,SOUTH DAKOTA,45
4.462687973338629,2013,TENNESSEE,219
4.352184748558049,2013,TEXAS,873
4.032060411999164,2013,UTAH,109
4.561721400638379,2013,VERMONT,42
4.23640629503517,2013,VIRGINIA,338
4.433642711570605,2013,WASHINGTON,330
4.644414772381561,2013,WEST VIRGINIA,92
4.307805390757284,2013,WISCONSIN,281
4.619551636631925,2014,ALABAMA,571
3.6031069833755347,2014,ALASKA,70
4.331523333041149,2014,ARIZONA,1136
4.434352410328064,2014,ARKANSAS,398
4.525373274052114,2014,CALIFORNIA,4632
4.264125184981851,2014,COLORADO,809
4.312940938826557,2014,CONNECTICUT,496
4.746192346244989,2014,DELAWARE,174
4.522124530202561,2014,DISTRICT OF COLUMBIA,120
4.530836018129936,2014,FLORIDA,3293
4.58886156972648,2014,GEORGIA,1391
4.37289188016371,2014,HAWAII,140
4.530366623736462,2014,IDAHO,226
4.342802094235891,2014,ILLINOIS,1927
4.428969075486834,2014,INDIANA,957
4.230360805034376,2014,IOWA,450
4.479964555413914,2014,KANSAS,383
4.711965034996485,2014,KENTUCKY,625
4.723635489888481,2014,LOUISIANA,510
4.200148372127153,2014,MAINE,251
