affective,year,state
0.7774540564769162,1986,INDIANA
0.7938144329896907,1988,INDIANA
0.8024742268041237,1990,INDIANA
0.7287550665866684,1992,INDIANA
0.719731939715258,1994,INDIANA
0.746047508946883,1996,INDIANA
0.7389662968927813,1998,INDIANA
0.8354052508342346,2000,INDIANA
0.7609111528634382,2004,INDIANA
0.8211863073218431,2008,INDIANA
0.7353129343144783,2012,INDIANA
0.677544988756329,2016,INDIANA
0.7289282925243684,2020,INDIANA
0.7431271477663229,1978,IOWA
0.7643593519882179,1982,IOWA
0.8041237113402062,1984,IOWA
0.7905588714053174,1986,IOWA
0.8247422680412371,1988,IOWA
0.7781596029018709,1990,IOWA
0.8050287434527204,1992,IOWA
0.7630614815519924,1994,IOWA
0.6479060430599081,1996,IOWA
