district_id,candidate,party_id,value,N,Q,vQ/N
Nordjyllands Storkreds,Helmuth Zickert,The Social Democratic Party,1876,73035,9,0.23117683302526187
Københavns Storkreds,Manu Sareen,The Danish Social-Liberal Party,14505,25086,12,6.938531451805788
Københavns Storkreds,Uffe Elbæk,The Danish Social-Liberal Party,2373,25086,12,1.135135135135135
Københavns Storkreds,Lone Loklindt,The Danish Social-Liberal Party,1227,25086,12,0.5869409232241091
Københavns Storkreds,Pernille Boye Koch,The Danish Social-Liberal Party,1195,25086,12,0.5716335804831381
Københavns Storkreds,Karen Lumholt,The Danish Social-Liberal Party,1157,25086,12,0.5534561109782349
Københavns Storkreds,Ditte Søndergaard,The Danish Social-Liberal Party,1116,25086,12,0.5338435780913657
Københavns Storkreds,Mia Nyegaard,The Danish Social-Liberal Party,671,25086,12,0.3209758430997369
Københavns Storkreds,Sofie Plenge,The Danish Social-Liberal Party,635,25086,12,0.30375508251614447
Københavns Storkreds,Christian Donatzky,The Danish Social-Liberal Party,577,25086,12,0.2760105237981344
Københavns Storkreds,Karsten Lauritsen,The Danish Social-Liberal Party,562,25086,12,0.26883520688830426
Københavns Storkreds,Lars Richard Rasmussen,The Danish Social-Liberal Party,547,25086,12,0.26165988997847406
Københavns Storkreds,Mette Annelie Rasmussen,The Danish Social-Liberal Party,521,25086,12,0.24922267400143505
Københavns Omegns Storkreds,Sofie Carsten Nielsen,The Danish Social-Liberal Party,2920,9630,8,2.4257528556593977
Københavns Omegns Storkreds,Nadeem Farooq,The Danish Social-Liberal Party,2623,9630,8,2.179023883696781
Københavns Omegns Storkreds,Marie-Louise Andreassen,The Danish Social-Liberal Party,1464,9630,8,1.2161993769470405
Københavns Omegns Storkreds,Trine Nebel Schou,The Danish Social-Liberal Party,823,9630,8,0.6836967808930425
Københavns Omegns Storkreds,Tina Fischer,The Danish Social-Liberal Party,724,9630,8,0.6014537902388369
Københavns Omegns Storkreds,Abbas Razvi,The Danish Social-Liberal Party,452,9630,8,0.3754932502596054
Københavns Omegns Storkreds,Anders Andersen,The Danish Social-Liberal Party,356,9630,8,0.29574247144340604
