"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","province"
"13",1,0.0210798969901305,0.921883422376307,0.483240826303976,0.686541457368158,1,0.724495411429289,0,0.978038934480953,0.0781165776236928,0.516625890988435,0.298521067553464,0,0.260969611126992,"CHAÑARAL"
"14",0.992091453278454,0.0129087577810448,0.836387805472686,0.459442147244244,0.586819157518697,0.99476440026017,0.514302944706374,0,0.98684256530322,0.163612194527314,0.540304240555996,0.403587755543464,0,0.473118964736927,"CHILOE"
"15",1,0.019546544122129,0.881274391679179,0.496670525116918,0.639600960824115,1,0.661917340584819,0,0.979827978046683,0.118725608320821,0.503213823567115,0.346573116388676,0,0.31809836386358,"CHOAPA"
"16",0.978033130520165,0.00653625299968678,0.810405782591393,0.415128417002137,0.547044381127033,0.989370893188878,0.499730942524112,0,0.993363069515078,0.18873588630745,0.584871582997863,0.447913993660628,0,0.489357920973323,"COLCHAGUA"
"17",0.978451210168096,0.00741661101077501,0.805694626468781,0.432933741999452,0.564544971937515,0.988198886908822,0.506322787596005,0,0.992419724059381,0.194003943855553,0.56681768460869,0.427940363557877,0,0.483317654768546,"CONCEPCION"
"18",1,0.0149609249745789,0.869459605630357,0.474229370876512,0.629755642623645,0.999427339232995,0.583426042940246,0,0.984606288964174,0.130540394369643,0.525595730453178,0.357216757740692,0,0.401596808663663,"COPIAPO"
"19",1,0.0186725447275522,0.848859013988805,0.505181339650878,0.57101987161547,1,0.598310202440269,0,0.981227544958273,0.151051906881921,0.494681361397711,0.422585972483338,0,0.377796064318352,"CORDILLERA"
"20",0.988971520354712,0.0136498796053887,0.825684490931885,0.447749729340038,0.569896545968332,0.993484907070234,0.48517940014761,0,0.986166224181206,0.174315509068115,0.55199639005583,0.421702843436626,0,0.506885986473344,"COYHAIQUE"
"21",0.981999992011669,0.00695179368605521,0.808311263234855,0.418266285739641,0.547826656263029,0.989125156601083,0.501490533857556,0,0.992944784629999,0.190869525564606,0.581726977934877,0.447033445654555,0,0.487395965403912,"CURICO"
"22",0.951744617738154,0,0.811234360692723,0.433524996425117,0.601086680155722,0.978103666385214,0.326656264049457,0,1,0.188765639307277,0.566247415697723,0.388508090667172,0,0.673343735950543,"DEL TAMARUGAL"
