"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","commune"
"124",1,0.0724094901162984,0.786077581066686,0.272439004398932,0.976779002112986,0.998673568733169,0.5661659032165,0,0.927304455748466,0.211545284607135,0.709755166823093,0,0,0.428401171513711,"LA LIGUA"
"125",1,0.109139672290404,0.89102113484803,0.296442102864789,1,1,0.616183629873029,0,0.890860327709596,0.10897886515197,0.687840928786556,0,0,0.383816370126971,"LA PINTANA"
"126",0.943195533774872,0.0023844925802575,0.689190322165846,0.314363114688023,0.9717982328698,0.988272312278703,0.547898008821172,0,0.997589173321141,0.301549828486014,0.659070368160277,0,0,0.442662473741561,"LA REINA"
"127",0.994879031928425,0.0769627636002664,0.814316341840816,0.283962444327413,0.999999999999999,1,0.603775003860947,0,0.923037236399734,0.185683658159184,0.70053456645115,0,0,0.396224996139053,"LA SERENA"
"128",0.960702155455861,0.0227504124753474,0.669729048559855,0.241110798866062,0.960301154429843,0.989715757133744,0.484578825224189,0,0.976873837088446,0.323198871699756,0.738027251076018,0,0,0.494967426721296,"LA UNION"
"129",0.951991164218059,0,0.578337109118608,0.21612060335716,0.961856076046868,0.983965013776414,0.439128676375423,0,1,0.414149213360349,0.762168647513982,0,0,0.534281246803597,"LAGO RANCO"
"130",0.965723935842225,0.102526595793144,0.758685054717445,0.297649916483526,0.969158823768284,1,0.556034948719763,0,0.896902121684589,0.236141261460923,0.683043331298591,0,0,0.43624517401033,"LAGO VERDE"
"131",0.970800371680119,0.124367110289702,0.719844936409037,0.282908558074252,0.892303198096964,1,0.551818288460859,0,0.871558963211213,0.267409174203785,0.697857483194233,0,0,0.439471289975524,"LAGUNA BLANCA"
"132",0.96962580555202,0.0217090507094553,0.673800329896431,0.229403742249877,0.962327918516468,0.982491182773837,0.423772031914583,0,0.977955934477013,0.317740265581546,0.75125341801889,0,0,0.555208826047974,"LAJA"
"133",0.985622700585964,0.0617604024993193,0.679396330541977,0.248179848226399,0.93113014646311,0.984870167731935,0.523866316641855,0,0.936561413260599,0.306155631901984,0.732200252598627,0,0,0.462563031813218,"LAMPA"
"134",0.966253528729048,0.0519504959244706,0.69789953368237,0.256470019014769,0.950602437491926,0.995294402532822,0.501839497084784,0,0.946915540280385,0.294008329166037,0.723687721363208,0,0,0.480493155539774,"LANCO"
"135",0.984190261120562,0.0644765060894713,0.718741596833594,0.268297379617323,0.954133461901217,0.993819607268904,0.531860178294845,0,0.93438966213731,0.27585600252216,0.71053991593416,0,0,0.455180213727062,"LAS CABRAS"
