"","Nathalie.ARTHAUD.Emmanuel.MACRON","Fabien.ROUSSEL.Emmanuel.MACRON","Emmanuel.MACRON.Emmanuel.MACRON","Jean.LASSALLE.Emmanuel.MACRON","Marine.LE.PEN.Emmanuel.MACRON","Éric.ZEMMOUR.Emmanuel.MACRON","Jean.Luc.MÉLENCHON.Emmanuel.MACRON","Anne.HIDALGO.Emmanuel.MACRON","Yannick.JADOT.Emmanuel.MACRON","Valérie.PÉCRESSE.Emmanuel.MACRON","Philippe.POUTOU.Emmanuel.MACRON","Nicolas.DUPONT.AIGNAN.Emmanuel.MACRON","Nathalie.ARTHAUD.Marine.LE.PEN","Fabien.ROUSSEL.Marine.LE.PEN","Emmanuel.MACRON.Marine.LE.PEN","Jean.LASSALLE.Marine.LE.PEN","Marine.LE.PEN.Marine.LE.PEN","Éric.ZEMMOUR.Marine.LE.PEN","Jean.Luc.MÉLENCHON.Marine.LE.PEN","Anne.HIDALGO.Marine.LE.PEN","Yannick.JADOT.Marine.LE.PEN","Valérie.PÉCRESSE.Marine.LE.PEN","Philippe.POUTOU.Marine.LE.PEN","Nicolas.DUPONT.AIGNAN.Marine.LE.PEN","department"
"19",0,0,0.934710434081341,0,0,0.188110699400638,0.829714231024979,0,0.990110825953749,0.954492863268785,0,0,0,0,0.064842177182327,0,0.989605463983074,0.809302007763387,0.168268289775512,0,0,0,0,0.991425262030857,"Corrèze"
"20",0,0,0.903056353635261,0,0,0.110719115324583,0.774803565074261,0,0.980150926545884,0.946765120121376,0,0,0,0,0.0967459835893698,0,1,0.88705920525145,0.225115148011253,0,0,0,0,0.994984340075714,"Corse-du-Sud"
"21",0,0,0.921181526760511,0,0,0.179242477367227,0.797013274010056,0,0.988661031386763,0.948310804315629,0,0,0,0,0.0784967089338579,0,1,0.818053098846296,0.201818756468567,0,0,0,0,0.994848739323314,"Creuse"
"22",0,0,0.92861684670582,0,0,0.235978071962505,0.816149411271996,0,0.989660046169666,0.961995188815498,0,0,0,0,0.070589136845676,0,0.98448286920035,0.76302448850449,0.18209469571138,0,0,0,0,0.988505872131988,"Côte-d'Or"
"23",0,0,0.951629524671042,0,0,0.236557567453043,0.852736556462397,0,0.995720728985297,0.974610818355844,0,0,0,0,0.047640521063032,0,0.961815997823796,0.762477080315275,0.145078802956834,0,0,0,0,0.983554820905769,"Côtes-d'Armor"
"24",0,0,0.942868520852426,0,0,0.24538769143591,0.847230496410714,0,0.994598910795502,0.973459858831761,0,0,0,0,0.0560284496907958,0,0.964441339828731,0.754139597947081,0.15059880680552,0,0,0,0,0.981145517738034,"Deux-Sèvres"
"25",0,0,0.917816040862079,0,0,0.1899690654503,0.782549144267482,0,0.986970687710513,0.957561818042589,0,0,0,0,0.0816246660835803,0,1,0.807477642982624,0.216924002576779,0,0,0,0,0.991651729726729,"Dordogne"
"26",0,0,0.930803695725078,0,0,0.221786428552505,0.813786735328828,0,0.989859348578916,0.958299657441717,0,0,0,0,0.0685098455727247,0,0.984241362634257,0.776576570539939,0.184516073243579,0,0,0,0,0.989666135275871,"Doubs"
"27",0,0,0.931256662112948,0,0,0.220308108968754,0.796692863210608,0,0.989199326372961,0.960214546393026,0,0,0,0,0.0680739354271564,0,0.986826325406193,0.777997705651329,0.202152340472173,0,0,0,0,0.989120437236492,"Drôme"
"28",0,0,0.96863164428351,0,0,0.217429901414671,0.844488987287554,0,0.997184726460621,0.959129828438886,0,0,0,0,0.0310710783478674,0,0.961306499138501,0.780772696877644,0.153379547779027,0,0,0,0,0.988442668006652,"Essonne"
"29",0,0,0.898166006713705,0,0,0.189747149600277,0.773247398047301,0,0.985509944151365,0.949991197875497,0,0,0,0,0.101543817524705,0,1,0.807723139775471,0.226732099711694,0,0,0,0,0.996329004404146,"Eure"
"30",0,0,0.914209295161011,0,0,0.19752755588587,0.807876406727943,0,0.989156689168116,0.948347158593248,0,0,0,0,0.0853505836480268,0,0.995751270331742,0.800095956519841,0.190587551884212,0,0,0,0,0.995158879180642,"Eure-et-Loir"
"31",0,0,0.975382261816096,0,0,0.238344267425858,0.878416015924462,0,1,0.980387435692225,0,0,0,0,0.0243002317180793,0,0.951628685607653,0.760784776688079,0.119518212111997,0,0,0,0,0.982220466145973,"Finistère"
"32",0,0,1,0,0,0.450169148092333,0.990431474062673,0,1,0.999999999999999,0,0,0,0,0,0,0.958085631166433,0.549830851907667,0.00946296983379654,0,0,0,0,0.96964519005483,"Français établis hors de France"
"33",0,0,0.912495925797904,0,0,0.174189435115041,0.752723847569833,0,0.985551248860798,0.954621710660739,0,0,0,0,0.0871316254113967,0,1,0.823104647261966,0.247276152430167,0,0,0,0,0.993755032528585,"Gard"
"34",0,0,0.93096118297522,0,0,0.238328929680858,0.824720770718536,0,0.989342746670376,0.972411145380297,0,0,0,0,0.0680668367331796,0,0.993602223747036,0.760799296737239,0.173341884458032,0,0,0,0,0.983760419149961,"Gers"
"35",0,0,0.948127569085655,0,0,0.245692404900869,0.834874250214111,0,0.993647966524486,0.971567858226405,0,0,0,0,0.051157223913162,0,0.969487235547608,0.753843646698872,0.163052588031956,0,0,0,0,0.984542176157413,"Gironde"
"36",0,0,0.899886948599298,0,0,0.0837624276876868,0.239154551741629,0,0.984214422475615,0.904348208702538,0,0,0,0,0.100113051400702,0,1,0.914610597165113,0.760845448258371,0,0,0,0,1,"Guadeloupe"
"37",0,0,0.912942838521465,0,0,0.0874918326460279,0.381681384872439,0,0.98190466471431,0.932804453027675,0,0,0,0,0.0870571614785352,0,1,0.910793166437275,0.618318615127561,0,0,0,0,1,"Guyane"
"38",0,0,0.910180421772449,0,0,0.260837030590256,0.788117787701056,0,0.984545250739493,0.957578386177402,0,0,0,0,0.0886630836682077,0,1,0.739162969409745,0.211087613453512,0,0,0,0,0.989322141844546,"Haut-Rhin"
"39",0,0,0.908608812590365,0,0,0.115022968912912,0.785833632522998,0,0.981565352824503,0.942862732984735,0,0,0,0,0.0911051068929959,0,1,0.882667393242749,0.213494428933682,0,0,0,0,0.994781383082372,"Haute-Corse"
"40",0,0,0.96457044852659,0,0,0.254498270641709,0.844790972616784,0,0.996600456088821,0.974020465132779,0,0,0,0,0.034971881959584,0,0.96350208375163,0.745501729358291,0.153062464631777,0,0,0,0,0.982872027911313,"Haute-Garonne"
