department_id,ep,ec,N_candidates,year
16,0.043969417949089214,0.9104500884060418,3,2007
17,0.05800207297239908,0.8997337705611607,3,2007
18,0.05155060108767306,0.9066344443537031,3,2007
19,0.051049194371967026,0.9095540050422852,3,2007
21,0.0642205531332638,0.8981553492774785,3,2007
22,0.04738340932665201,0.9247242773598561,3,2007
23,0.04973831289981867,0.9056207999500168,3,2007
24,0.04544771048835339,0.9145235082096521,3,2007
25,0.06467357358921659,0.8875126367074655,3,2007
26,0.04904936532543446,0.9133064091835379,3,2007
27,0.055514319343905605,0.8978927837372609,3,2007
28,0.05495069668884675,0.8962532630084006,3,2007
29,0.050196041598591354,0.9228732249994942,3,2007
2A,0.06338530320752936,0.8430966619985978,3,2007
2B,0.08740333622269555,0.8298698689287469,3,2007
30,0.05344382091314549,0.8876739471057259,3,2007
