region_id,within,between,value,N_candidates
11,0.03921984736078522,0.8140982845145484,0.8533181318753336,7
12,0.036695178453796023,0.821906515064519,0.858601693518315,7
13,0.06160851969023458,0.818655192328526,0.8802637120187606,7
14,0.04192704543691109,0.8141636035057849,0.8560906489426959,7
15,0.03246212581757356,0.8316114497812965,0.8640735755988701,7
16,0.03594013989330504,0.8097746847324588,0.8457148246257639,7
1,0.03526605614832461,0.8475215702559811,0.8827876264043056,8
2,0.03721683984109502,0.8401369459681353,0.8773537858092303,8
3,0.03557462978988098,0.8289139446845338,0.8644885744744149,8
4,0.04230044897278522,0.8209895891894334,0.8632900381622186,8
5,0.04567094762204736,0.8345871088416579,0.8802580564637053,8
6,0.03465980582768232,0.826153872758973,0.8608136785866554,8
7,0.037558802510755954,0.8181474512691791,0.855706253779935,8
