polling_id,divisiveness_daciolo,divisiveness_ciro,divisiveness_haddad,divisiveness_alckmin,divisiveness_meirelles,divisiveness_bolsonaro,divisiveness_amoedo,rate_daciolo,rate_ciro,rate_haddad,rate_alckmin,rate_meirelles,rate_bolsonaro,rate_amoedo,value_daciolo,value_ciro,value_haddad,value_alckmin,value_meirelles,value_bolsonaro,value_amoedo,candidate,value,rate
SP-CAPÃO BONITO-37,,,,,,,,0.004806125773867709,0.053763440860215055,0.13375692407950474,0.20812968393613554,0.016658520690778757,0.558365917236885,0.02451938742261323,118,1320,3284,5110,409,13709,602,JAIR MESSIAS BOLSONARO,17480,0.743070906308451
SP-CARAGUATATUBA-206,,,,,,,,0.01096137726481398,0.0886904378103037,0.14230446837320265,0.15416854729511897,0.011170933006641305,0.5625282094267845,0.030176026823134954,680,5502,8828,9564,693,34897,1872,FERNANDO HADDAD,17363,0.28833571357401444
SP-CARAGUATATUBA-206,,,,,,,,0.01096137726481398,0.0886904378103037,0.14230446837320265,0.15416854729511897,0.011170933006641305,0.5625282094267845,0.030176026823134954,680,5502,8828,9564,693,34897,1872,JAIR MESSIAS BOLSONARO,42855,0.7116642864259856
SP-CARAPICUÍBA-303,0.0040005278136307,0.0077011404917848,0.0387156780559089,0.0118737236856943,0.0014137239128277,0.0106687043144673,0.0093086075154125,0.012872563235057194,0.1429192846785887,0.20436603834380537,0.10238440470436604,0.014660866763331722,0.47274045432576123,0.05005638794908974,799,8871,12685,6355,910,29343,3107,FERNANDO HADDAD,24336,0.3907828181453232
SP-CARAPICUÍBA-303,0.0040005278136307,0.0077011404917848,0.0387156780559089,0.0118737236856943,0.0014137239128277,0.0106687043144673,0.0093086075154125,0.012872563235057194,0.1429192846785887,0.20436603834380537,0.10238440470436604,0.014660866763331722,0.47274045432576123,0.05005638794908974,799,8871,12685,6355,910,29343,3107,JAIR MESSIAS BOLSONARO,37939,0.6092171818546769
SP-CARAPICUÍBA-388,0.0040005278136307,0.0077011404917848,0.0387156780559089,0.0118737236856943,0.0014137239128277,0.0106687043144673,0.0093086075154125,0.018683978544427677,0.13130332143017226,0.2604028149232769,0.08477640484692735,0.012558083939697292,0.4559458530681767,0.03632954324732179,2501,17576,34857,11348,1681,61032,4863,FERNANDO HADDAD,56335,0.4211049566822894
SP-CARAPICUÍBA-388,0.0040005278136307,0.0077011404917848,0.0387156780559089,0.0118737236856943,0.0014137239128277,0.0106687043144673,0.0093086075154125,0.018683978544427677,0.13130332143017226,0.2604028149232769,0.08477640484692735,0.012558083939697292,0.4559458530681767,0.03632954324732179,2501,17576,34857,11348,1681,61032,4863,JAIR MESSIAS BOLSONARO,77444,0.5788950433177106
SP-CARDOSO-224,,,,,,,,0.008924377642085486,0.0787537184906842,0.24127133239392515,0.12572412713323938,0.012838578362298418,0.5110380460310004,0.02144981994676687,57,503,1541,803,82,3264,137,FERNANDO HADDAD,2379,0.38137223469060594
SP-CARDOSO-224,,,,,,,,0.008924377642085486,0.0787537184906842,0.24127133239392515,0.12572412713323938,0.012838578362298418,0.5110380460310004,0.02144981994676687,57,503,1541,803,82,3264,137,JAIR MESSIAS BOLSONARO,3859,0.618627765309394
SP-CASA BRANCA-39,,,,,,,,0.006592407365310297,0.07827536561339699,0.08767144047889672,0.11063120406152914,0.02288398878533,0.6552246722740017,0.038720921421535194,87,1033,1157,1460,302,8647,511,FERNANDO HADDAD,2670,0.208317078879613
SP-CASA BRANCA-39,,,,,,,,0.006592407365310297,0.07827536561339699,0.08767144047889672,0.11063120406152914,0.02288398878533,0.6552246722740017,0.038720921421535194,87,1033,1157,1460,302,8647,511,JAIR MESSIAS BOLSONARO,10147,0.791682921120387
SP-CASTILHO-9,,,,,,,,0.013725091500610005,0.07574217161447742,0.3723058153721025,0.0829605530703538,0.008743391622610817,0.43483123220821474,0.011691744611630745,135,745,3662,816,86,4277,115,FERNANDO HADDAD,4821,0.49063708528394057
SP-CASTILHO-9,,,,,,,,0.013725091500610005,0.07574217161447742,0.3723058153721025,0.0829605530703538,0.008743391622610817,0.43483123220821474,0.011691744611630745,135,745,3662,816,86,4277,115,JAIR MESSIAS BOLSONARO,5005,0.5093629147160594
SP-CATANDUVA-40,,,,,,,,0.00665636139941323,0.08131171330325877,0.11697529890532825,0.07990788352944887,0.010142275781570396,0.663017760812644,0.04198870626833654,422,5155,7416,5066,643,42034,2662,FERNANDO HADDAD,13376,0.21195411041389364
SP-CATANDUVA-40,,,,,,,,0.00665636139941323,0.08131171330325877,0.11697529890532825,0.07990788352944887,0.010142275781570396,0.663017760812644,0.04198870626833654,422,5155,7416,5066,643,42034,2662,JAIR MESSIAS BOLSONARO,49732,0.7880458895861063
SP-CATIGUÁ-179,,,,,,,,0.005672009864364982,0.0530209617755857,0.14204685573366216,0.13686806411837238,0.0093711467324291,0.625154130702836,0.027866831072749693,23,215,576,555,38,2535,113,FERNANDO HADDAD,928,0.22812192723697147
SP-CATIGUÁ-179,,,,,,,,0.005672009864364982,0.0530209617755857,0.14204685573366216,0.13686806411837238,0.0093711467324291,0.625154130702836,0.027866831072749693,23,215,576,555,38,2535,113,JAIR MESSIAS BOLSONARO,3140,0.7718780727630286
SP-CAÇAPAVA-29,,,,,,,,0.008519213119987231,0.0778500458880332,0.07332109652448027,0.1473604405251187,0.009496827740313634,0.630521527472966,0.05293084872910099,427,3902,3675,7386,476,31603,2653,FERNANDO HADDAD,9171,0.1877994839660892
SP-CAÇAPAVA-29,,,,,,,,0.008519213119987231,0.0778500458880332,0.07332109652448027,0.1473604405251187,0.009496827740313634,0.630521527472966,0.05293084872910099,427,3902,3675,7386,476,31603,2653,JAIR MESSIAS BOLSONARO,39663,0.8122005160339107
SP-CEDRAL-312,0.0052972258941558,0.0173102645822913,0.4535226997913154,0.0843111921069832,0.0033997700920825,0.3350641726761721,0.019895161084995,0.0032245062474808546,0.07678355501813784,0.08827085852478839,0.13865376864167675,0.008665860540104797,0.6539701733172109,0.030431277710600564,16,381,438,688,43,3245,151,FERNANDO HADDAD,991,0.2030321655398484
SP-CEDRAL-312,0.0052972258941558,0.0173102645822913,0.4535226997913154,0.0843111921069832,0.0033997700920825,0.3350641726761721,0.019895161084995,0.0032245062474808546,0.07678355501813784,0.08827085852478839,0.13865376864167675,0.008665860540104797,0.6539701733172109,0.030431277710600564,16,381,438,688,43,3245,151,JAIR MESSIAS BOLSONARO,3890,0.7969678344601516
SP-CERQUEIRA CÉSAR-205,,,,,,,,0.008593022051972253,0.0906926182834662,0.12744590537322703,0.14980846878558857,0.01708251371777617,0.5755254167098043,0.030852055078165443,83,876,1231,1447,165,5559,298,FERNANDO HADDAD,2572,0.2649634284536932
SP-CERQUEIRA CÉSAR-205,,,,,,,,0.008593022051972253,0.0906926182834662,0.12744590537322703,0.14980846878558857,0.01708251371777617,0.5755254167098043,0.030852055078165443,83,876,1231,1447,165,5559,298,JAIR MESSIAS BOLSONARO,7135,0.7350365715463067
SP-CERQUILHO-355,,,,,,,,0.003834856396866841,0.07102643603133159,0.06600848563968668,0.10676403394255875,0.008444843342036554,0.6993717362924282,0.044549608355091384,94,1741,1618,2617,207,17143,1092,FERNANDO HADDAD,4010,0.16516330985625438
SP-CERQUILHO-355,,,,,,,,0.003834856396866841,0.07102643603133159,0.06600848563968668,0.10676403394255875,0.008444843342036554,0.6993717362924282,0.044549608355091384,94,1741,1618,2617,207,17143,1092,JAIR MESSIAS BOLSONARO,20269,0.8348366901437456
SP-CESÁRIO LANGE-355,,,,,,,,0.004676174888940846,0.04769698386719663,0.08861351414542903,0.1895019873743278,0.007832592938975917,0.6407528641571195,0.020925882628010286,40,408,758,1621,67,5481,179,FERNANDO HADDAD,1466,0.17441998810232004
SP-CESÁRIO LANGE-355,,,,,,,,0.004676174888940846,0.04769698386719663,0.08861351414542903,0.1895019873743278,0.007832592938975917,0.6407528641571195,0.020925882628010286,40,408,758,1621,67,5481,179,JAIR MESSIAS BOLSONARO,6939,0.8255800118976799
SP-CHARQUEADA-244,,,,,,,,0.0051830613145125715,0.06153506837229819,0.11325540361711513,0.12990736656374063,0.006285840317600353,0.658579620644023,0.02525363917071019,47,558,1027,1178,57,5972,229,FERNANDO HADDAD,1865,0.20889336917562723
SP-CHARQUEADA-244,,,,,,,,0.0051830613145125715,0.06153506837229819,0.11325540361711513,0.12990736656374063,0.006285840317600353,0.658579620644023,0.02525363917071019,47,558,1027,1178,57,5972,229,JAIR MESSIAS BOLSONARO,7063,0.7911066308243727
SP-CHAVANTES-313,,,,,,,,0.009451502943910752,0.08490858382398513,0.16532383018283237,0.12193988224356989,0.00836690424542919,0.5876975519057949,0.022311744654477845,61,548,1067,787,54,3793,144,FERNANDO HADDAD,1738,0.2763555414215297
SP-CHAVANTES-313,,,,,,,,0.009451502943910752,0.08490858382398513,0.16532383018283237,0.12193988224356989,0.00836690424542919,0.5876975519057949,0.022311744654477845,61,548,1067,787,54,3793,144,JAIR MESSIAS BOLSONARO,4551,0.7236444585784704
