commune,candidate,value,rate_x,votes,rate_y,divisiveness,voters,poverty_rate,hhi,entropy,growth
LA LIGUA,SEBASTIAN PIÑERA ECHENIQUE,5354.0,0.36739175186989637,7824.0,0.504318679902024,0.0591754847073983,29355,0.1323431186533528,0.25898318890687494,1.5311163023807475,0.13692692803212758
LA PINTANA,ALEJANDRO  GUILLIER ALVAREZ,14057.0,0.2824619217939959,28638.0,0.5646070738535547,0.0906655970458574,137423,0.1531305092145046,0.2107503731537461,1.6798031546580627,0.2821451520595588
LA PINTANA,SEBASTIAN PIÑERA ECHENIQUE,11471.0,0.23049873407547322,22084.0,0.4353929261464453,0.0629412749107886,137423,0.1531305092145046,0.2107503731537461,1.6798031546580627,0.2048941920709721
LA REINA,ALEJANDRO  GUILLIER ALVAREZ,8819.0,0.1640042400461198,22044.0,0.3930883218317017,0.0302738974350849,89772,0.04704515049232214,0.27582391397273404,1.519040465033211,0.22908408178558193
LA REINA,SEBASTIAN PIÑERA ECHENIQUE,23869.0,0.443884477339929,34035.0,0.6069116781682983,0.0559806919004945,89772,0.04704515049232214,0.27582391397273404,1.519040465033211,0.1630272008283693
LA SERENA,ALEJANDRO  GUILLIER ALVAREZ,17291.0,0.22931448350861372,34947.0,0.44568433403050556,0.057139636552194,160944,0.1158846818550286,0.26751576217055495,1.5174618107858657,0.21636985052189184
LA SERENA,SEBASTIAN PIÑERA ECHENIQUE,30538.0,0.4049971486545628,43465.0,0.5543156659694944,0.0821183112201505,160944,0.1158846818550286,0.26751576217055495,1.5174618107858657,0.14931851731493162
LA UNION,ALEJANDRO  GUILLIER ALVAREZ,3798.0,0.240030335587436,6933.0,0.4017500144868749,0.0493565621254371,35313,0.1250073679561646,0.2545407392192134,1.5755396468323124,0.16171967889943892
LA UNION,SEBASTIAN PIÑERA ECHENIQUE,6360.0,0.40194653352714405,10324.0,0.5982499855131251,0.0665268519019669,35313,0.1250073679561646,0.2545407392192134,1.5755396468323124,0.1963034519859811
LAGO RANCO,ALEJANDRO  GUILLIER ALVAREZ,725.0,0.18438453713123093,1547.0,0.347718588446842,0.0487185215043369,8982,0.1359334120944532,0.29492651784300555,1.5241603906465946,0.16333405131561107
LAGO RANCO,SEBASTIAN PIÑERA ECHENIQUE,1900.0,0.4832146490335707,2902.0,0.652281411553158,0.0937814867687882,8982,0.1359334120944532,0.29492651784300555,1.5241603906465946,0.1690667625195873
LAGO VERDE,ALEJANDRO  GUILLIER ALVAREZ,126.0,0.2857142857142857,200.0,0.4098360655737705,0.0745277099118464,1196,0.06079637956506091,0.3823046981453201,1.2129103671870323,0.1241217798594848
LAGO VERDE,SEBASTIAN PIÑERA ECHENIQUE,238.0,0.5396825396825397,288.0,0.5901639344262295,0.0411167496096918,1196,0.06079637956506091,0.3823046981453201,1.2129103671870323,0.050481394743689845
LAGUNA BLANCA,ALEJANDRO  GUILLIER ALVAREZ,64.0,0.2057877813504823,123.0,0.41836734693877553,0.0451561451729722,944,0.04931501555663354,0.21346967049554905,1.656448288157832,0.21257956558829322
LAGUNA BLANCA,SEBASTIAN PIÑERA ECHENIQUE,104.0,0.33440514469453375,171.0,0.5816326530612245,0.0763154129385683,944,0.04931501555663354,0.21346967049554905,1.656448288157832,0.24722750836669072
LAJA,ALEJANDRO  GUILLIER ALVAREZ,1722.0,0.1889608251947767,3529.0,0.34103208349439507,0.0400042835000333,21252,0.1351941484837018,0.26587043982409475,1.587653205170379,0.15207125829961837
LAJA,SEBASTIAN PIÑERA ECHENIQUE,4030.0,0.442225392296719,6819.0,0.6589679165056049,0.0483174627673353,21252,0.1351941484837018,0.26587043982409475,1.587653205170379,0.21674252420888596
