commune,candidate,value,rate_x,votes,rate_y,divisiveness,voters,hhi,entropy,growth
CABO FRIO,JAIR MESSIAS BOLSONARO,70511,0.6740175695181287,74772,0.7607129776584056,0.0110940984133041,104613,0.4824217535681518,1.1670731002650627,0.08669540814027688
CACHOEIRA DOURADA,FERNANDO HADDAD,2547,0.41536203522504894,3519,0.5694174757281554,0.0503592876874895,6132,0.32501008472445087,1.3715560430191251,0.15405544050310643
CACHOEIRA DOURADA,JAIR MESSIAS BOLSONARO,2295,0.37426614481409004,2661,0.4305825242718447,0.0763385690445644,6132,0.32501008472445087,1.3715560430191251,0.05631637945775464
CACHOEIRINHA,FERNANDO HADDAD,18211,0.20844016115740316,31483,0.3672557596967046,0.2310240732476271,87368,0.34889013696026583,1.4090764063894736,0.15881559853930144
CACHOEIRINHA,JAIR MESSIAS BOLSONARO,46552,0.5328266642248878,54242,0.6327442403032955,0.2006353211437388,87368,0.34889013696026583,1.4090764063894736,0.09991757607840768
CACHOEIRO DE ITAPEMIRIM,FERNANDO HADDAD,14252,0.14100280976690807,24792,0.24729187862828417,0.0180612727810152,101076,0.4768148184320205,1.1761746713658001,0.1062890688613761
CACHOEIRO DE ITAPEMIRIM,JAIR MESSIAS BOLSONARO,67614,0.6689421821203847,75462,0.7527081213717158,0.0186737694460839,101076,0.4768148184320205,1.1761746713658001,0.08376593925133113
CAFELÂNDIA,FERNANDO HADDAD,2969,0.16471567267683773,4822,0.270640399618342,0.0584733260194506,18025,0.40617336762587025,1.3198755399691944,0.10592472694150429
CAFELÂNDIA,JAIR MESSIAS BOLSONARO,10913,0.6054368932038835,12995,0.7293596003816579,0.010566474074945,18025,0.40617336762587025,1.3198755399691944,0.12392270717777443
CAIÇARA,FERNANDO HADDAD,3327,0.43776315789473685,4312,0.5778611632270169,0.1368778446279222,7600,0.33301180747922443,1.3345759225884508,0.14009800533228
CAIÇARA,JAIR MESSIAS BOLSONARO,2677,0.3522368421052632,3150,0.42213883677298314,0.1310238917162315,7600,0.33301180747922443,1.3345759225884508,0.06990199466771996
CAMARAGIBE,FERNANDO HADDAD,29613,0.34651298853264684,49546,0.5493026452914699,0.0145345715508276,85460,0.3191071211158358,1.3895689731618415,0.20278965675882304
CAMARAGIBE,JAIR MESSIAS BOLSONARO,36034,0.42164755441142054,40652,0.4506973547085301,0.0172717141128293,85460,0.3191071211158358,1.3895689731618415,0.029049800297109574
CAMAÇARI,FERNANDO HADDAD,61786,0.4933526034638326,84052,0.648874821476821,0.0419773016236944,125237,0.3500638461044569,1.3304769694410221,0.15552221801298838
CAMAÇARI,JAIR MESSIAS BOLSONARO,38360,0.30629925660946844,45483,0.35112517852317904,0.0198393503363871,125237,0.3500638461044569,1.3304769694410221,0.0448259219137106
CAMPESTRE,FERNANDO HADDAD,4135,0.2686984209500292,5762,0.3934986000136584,0.3417779798436487,15389,0.3032005171527609,1.4801872438371535,0.12480017906362917
CAMPESTRE,JAIR MESSIAS BOLSONARO,7058,0.45863928780297614,8881,0.6065013999863416,0.2466116845189745,15389,0.3032005171527609,1.4801872438371535,0.14786211218336542
CAMPINA GRANDE,FERNANDO HADDAD,45065,0.20631417989369544,98243,0.43702985360124913,0.0163111103810402,218429,0.3389818424522996,1.3667657838352738,0.2307156737075537
CAMPINA GRANDE,JAIR MESSIAS BOLSONARO,110542,0.5060774897106154,126554,0.5629701463987509,0.0123797068632622,218429,0.3389818424522996,1.3667657838352738,0.05689265668813548
CAMPINAS,FERNANDO HADDAD,95083,0.15758289911565437,181841,0.31183879957127547,0.0528316708227414,603384,0.35884509926675695,1.4251716642556616,0.1542559004556211
CAMPINAS,JAIR MESSIAS BOLSONARO,336703,0.5580244089999072,401284,0.6881612004287245,0.0277914628911757,603384,0.35884509926675695,1.4251716642556616,0.1301367914288173
CAMPO ALEGRE,FERNANDO HADDAD,10194,0.4423519201562161,12574,0.547671936931051,0.363018763017822,23045,0.3439604957538481,1.3540441719448,0.10532001677483488
CAMPO ALEGRE,JAIR MESSIAS BOLSONARO,8652,0.37543935777825993,10385,0.452328063068949,0.3439521723644397,23045,0.3439604957538481,1.3540441719448,0.07688870529068909
CAMPO GRANDE,FERNANDO HADDAD,83901,0.16761594629960744,145388,0.2998525362729832,0.2294194236951558,500555,0.39522698507396753,1.349960393525283,0.13223658997337576
CAMPO GRANDE,JAIR MESSIAS BOLSONARO,297151,0.5936430562076096,339477,0.7001474637270168,0.2075737589014717,500555,0.39522698507396753,1.349960393525283,0.10650440751940715
CAMPO MAIOR,FERNANDO HADDAD,15565,0.5947422719804364,19618,0.7445726430848641,0.0316567344544118,26171,0.4179870295481171,1.168768359769523,0.14983037110442776
CAMPO MAIOR,JAIR MESSIAS BOLSONARO,5408,0.20664093844331513,6730,0.25542735691513585,0.0162523252794635,26171,0.4179870295481171,1.168768359769523,0.04878641847182072
CAMPOS DOS GOYTACAZES,FERNANDO HADDAD,40355,0.1694612764921033,79838,0.35128368716312836,0.0384087202798199,238137,0.3566566096688506,1.4282302773490614,0.18182241067102506
CAMPOS DOS GOYTACAZES,JAIR MESSIAS BOLSONARO,131431,0.5519133943906239,147437,0.6487163128368716,0.0233278207066841,238137,0.3566566096688506,1.4282302773490614,0.09680291844624767
CANARANA,FERNANDO HADDAD,11395,0.4993426818580193,13184,0.5786262892253675,0.4023948099905979,22820,0.39962107903871397,1.1372358131367641,0.07928360736734824
CANARANA,JAIR MESSIAS BOLSONARO,8692,0.3808939526730938,9601,0.4213737107746324,0.4283102911462098,22820,0.39962107903871397,1.1372358131367641,0.04047975810153864
CANDEIAS,FERNANDO HADDAD,35162,0.6517033028135079,42461,0.7843104658465403,0.3100039746856868,53954,0.4652220317709256,1.1480044211982086,0.13260716303303244
CANDEIAS,JAIR MESSIAS BOLSONARO,9789,0.18143233124513475,11677,0.21568953415345968,0.2496613867138548,53954,0.4652220317709256,1.1480044211982086,0.03425720290832493
CANOAS,FERNANDO HADDAD,34487,0.1810388724113494,63161,0.34509870344164395,0.0281679290898578,190495,0.3481344308288691,1.4305289121330829,0.16405983103029456
CANOAS,JAIR MESSIAS BOLSONARO,102663,0.538927530906323,119862,0.654901296558356,0.0222584137297097,190495,0.3481344308288691,1.4305289121330829,0.1159737656520331
