province,candidate,value,rate_x,votes,rate_y,divisiveness,voters,hhi,entropy,growth
DEL TAMARUGAL,JOSE ANTONIO KAST RIST,3300.0,0.2977801840822956,6517.0,0.6104346197077557,0.098418409646153,32455,0.2620569519645532,1.5420496889934794,0.3126544356254601
DIGUILLIN,GABRIEL BORIC FONT,22222.0,0.1790566128954281,65457.0,0.43232764883822306,0.0544166530063831,276817,0.21546699769623928,1.6861448299923094,0.253271035942795
DIGUILLIN,JOSE ANTONIO KAST RIST,44263.0,0.356654795094516,85949.0,0.567672351161777,0.0680798207496068,276817,0.21546699769623928,1.6861448299923094,0.21101755606726097
EL LOA,GABRIEL BORIC FONT,9862.0,0.16186318277310924,33156.0,0.5525355375206226,0.0504633728432973,140898,0.25030765893070234,1.599905286281915,0.39067235474751333
EL LOA,JOSE ANTONIO KAST RIST,12194.0,0.20013786764705882,26851.0,0.4474644624793774,0.0449542555738411,140898,0.25030765893070234,1.599905286281915,0.24732659483231856
ELQUI,GABRIEL BORIC FONT,46534.0,0.26965289447760327,128397.0,0.621491323604153,0.0562836503794908,395399,0.19117568767508597,1.7514957334492172,0.3518384291265498
ELQUI,JOSE ANTONIO KAST RIST,39361.0,0.22808715303934635,78198.0,0.37850867639584695,0.0615202065648372,395399,0.19117568767508597,1.7514957334492172,0.1504215233565006
GENERAL CARRERA,GABRIEL BORIC FONT,888.0,0.27569077926109903,2135.0,0.5603674540682415,0.0837558383825978,9394,0.2151257065048033,1.671088651219871,0.2846766748071425
GENERAL CARRERA,JOSE ANTONIO KAST RIST,952.0,0.2955603849736107,1675.0,0.43963254593175854,0.0751480456609125,9394,0.2151257065048033,1.671088651219871,0.14407216095814784
HUASCO,GABRIEL BORIC FONT,4149.0,0.14575794835763217,20902.0,0.6883583072616499,0.0428191724766903,65342,0.26306359941881347,1.5453873250146666,0.5426003589040178
HUASCO,JOSE ANTONIO KAST RIST,3914.0,0.13750219567890393,9463.0,0.3116416927383501,0.0339303043854716,65342,0.26306359941881347,1.5453873250146666,0.17413949705944615
IQUIQUE,GABRIEL BORIC FONT,18744.0,0.19110150483259247,51318.0,0.4968533973626629,0.0535571499011954,227692,0.21628509871169868,1.672180928423314,0.3057518925300704
IQUIQUE,JOSE ANTONIO KAST RIST,29973.0,0.30558500876799477,51968.0,0.5031466026373371,0.0642079713097148,227692,0.21628509871169868,1.672180928423314,0.19756159386934236
ISLA DE PASCUA,GABRIEL BORIC FONT,972.0,0.33586731167933653,2016.0,0.7026838619728129,0.0712762450026388,6493,0.2038839263753284,1.7307696985266863,0.3668165502934763
ISLA DE PASCUA,JOSE ANTONIO KAST RIST,581.0,0.20076019350380098,853.0,0.29731613802718715,0.0452267021285121,6493,0.2038839263753284,1.7307696985266863,0.09655594452338617
ITATA,GABRIEL BORIC FONT,3610.0,0.141015625,12968.0,0.4154412942495595,0.0423051165823293,56202,0.21430961303710938,1.676165649019743,0.27442566924955947
ITATA,JOSE ANTONIO KAST RIST,8661.0,0.3383203125,18247.0,0.5845587057504404,0.0680894326783312,56202,0.21430961303710938,1.676165649019743,0.24623839325044045
LIMARI,GABRIEL BORIC FONT,13089.0,0.22732640939247628,43595.0,0.6399359990605367,0.0526066054127821,148712,0.18522213883498148,1.7608143748323029,0.4126095896680604
LIMARI,JOSE ANTONIO KAST RIST,11573.0,0.2009969085414568,24529.0,0.36006400093946334,0.0476803786634519,148712,0.18522213883498148,1.7608143748323029,0.15906709239800654
LINARES,GABRIEL BORIC FONT,19334.0,0.18188660075072674,58756.0,0.4438870715510664,0.0513984414533831,252653,0.21559980057969835,1.6854676893501153,0.2620004708003396
LINARES,JOSE ANTONIO KAST RIST,37984.0,0.3573384008956038,73611.0,0.5561129284489337,0.0627766236863439,252653,0.21559980057969835,1.6854676893501153,0.19877452755332986
LLANQUIHUE,GABRIEL BORIC FONT,30979.0,0.19740271325979877,85721.0,0.46666630373241585,0.0562816375478673,348101,0.21616929767132262,1.6856417446966359,0.26926359047261705
LLANQUIHUE,JOSE ANTONIO KAST RIST,55370.0,0.3528257281769927,97967.0,0.5333336962675842,0.0706048731183606,348101,0.21616929767132262,1.6856417446966359,0.1805079680905915
LOS ANDES,GABRIEL BORIC FONT,11303.0,0.2313675721040673,32397.0,0.5991123439667129,0.0502497519636787,92615,0.1843634179466225,1.76703507233886,0.36774477186264554
LOS ANDES,JOSE ANTONIO KAST RIST,11740.0,0.2403127750598735,21678.0,0.4008876560332871,0.0515979749432136,92615,0.1843634179466225,1.76703507233886,0.16057488097341358
MAGALLANES,GABRIEL BORIC FONT,17535.0,0.3091447611995557,39293.0,0.6118594185521419,0.049534654421285,124011,0.21571394749916004,1.6799092851266124,0.3027146573525862
