nuts_2,ep,ec,N_candidates,year
ES13,0.04508121974125593,0.8778427662025137,10,2019
ES21,0.05301559802385718,0.6860159756382178,10,2019
ES22,0.09184157436558002,0.5893451520767266,10,2019
ES23,0.039802263015151,0.8216596772846677,10,2019
ES24,0.07035411691558081,0.8382018597909253,10,2019
ES30,0.05601788176267798,0.8738855705370173,10,2019
ES41,0.057361413611628054,0.8365161381512507,10,2019
ES42,0.05079507416477685,0.832249618607756,10,2019
ES43,0.05485613468325186,0.8209938645138999,10,2019
ES51,0.054908284062151265,0.8928061647222941,10,2019
ES52,0.055364406538077546,0.8811716739706311,10,2019
ES53,0.05554813810298794,0.8787977926674687,10,2019
ES61,0.06497536683745975,0.8442953334118339,10,2019
ES62,0.04339107622898386,0.8534890031951172,10,2019
ES63,0.08927500628253754,0.7688259072723025,10,2019
ES64,0.09180319920133655,0.7963490176536436,10,2019
ES70,0.04953669212280474,0.8843715832705425,10,2019
ES11,0.1297136229553012,0.5955215998079879,11,2019
ES12,0.05071592553891205,0.7832976026549375,11,2019
ES13,0.04508121974125593,0.8778427662025137,11,2019
ES21,0.05301559802385718,0.6860159756382178,11,2019
ES22,0.09184157436558002,0.5893451520767266,11,2019
ES23,0.039802263015151,0.8216596772846677,11,2019
ES24,0.07035411691558081,0.8382018597909253,11,2019
ES30,0.05601788176267798,0.8738855705370173,11,2019
ES41,0.057361413611628054,0.8365161381512507,11,2019
ES42,0.05079507416477685,0.832249618607756,11,2019
ES43,0.05485613468325186,0.8209938645138999,11,2019
ES51,0.054908284062151265,0.8928061647222941,11,2019
ES52,0.04774892718830035,0.8878470470914908,11,2019
ES53,0.05554813810298794,0.8787977926674687,11,2019
ES61,0.06497536683745975,0.8442953334118339,11,2019
ES62,0.04339107622898386,0.8534890031951172,11,2019
ES63,0.08927500628253754,0.7688259072723025,11,2019
ES64,0.09180319920133655,0.7963490176536436,11,2019
ES70,0.04953669212280474,0.8843715832705425,11,2019
ES11,0.1297136229553012,0.5955215998079879,12,2019
ES12,0.05071592553891205,0.7832976026549375,12,2019
ES13,0.04508121974125593,0.8778427662025137,12,2019
ES21,0.05828779808168226,0.794131915514068,12,2019
ES22,0.09184157436558002,0.5893451520767266,12,2019
ES23,0.039802263015151,0.8216596772846677,12,2019
ES24,0.07035411691558081,0.8382018597909253,12,2019
ES30,0.05601788176267798,0.8738855705370173,12,2019
ES41,0.057361413611628054,0.8365161381512507,12,2019
ES42,0.05079507416477685,0.832249618607756,12,2019
ES43,0.05485613468325186,0.8209938645138999,12,2019
ES51,0.054908284062151265,0.8928061647222941,12,2019
ES52,0.04774892718830035,0.8878470470914908,12,2019
ES53,0.05554813810298794,0.8787977926674687,12,2019
ES61,0.06497536683745975,0.8442953334118339,12,2019
ES62,0.04339107622898386,0.8534890031951172,12,2019
ES63,0.08927500628253754,0.7688259072723025,12,2019
ES64,0.09180319920133655,0.7963490176536436,12,2019
ES70,0.04953669212280474,0.8843715832705425,12,2019
ES11,0.10738155366005527,0.6522956518937993,13,2019
ES12,0.05071592553891205,0.7832976026549375,13,2019
ES13,0.04508121974125593,0.8778427662025137,13,2019
ES21,0.05828779808168226,0.794131915514068,13,2019
ES22,0.09184157436558002,0.5893451520767266,13,2019
ES23,0.039802263015151,0.8216596772846677,13,2019
ES24,0.07035411691558081,0.8382018597909253,13,2019
ES30,0.05601788176267798,0.8738855705370173,13,2019
ES41,0.057361413611628054,0.8365161381512507,13,2019
ES42,0.05079507416477685,0.832249618607756,13,2019
ES43,0.05485613468325186,0.8209938645138999,13,2019
ES51,0.054908284062151265,0.8928061647222941,13,2019
ES52,0.04774892718830035,0.8878470470914908,13,2019
ES53,0.05554813810298794,0.8787977926674687,13,2019
ES61,0.06497536683745975,0.8442953334118339,13,2019
ES62,0.04339107622898386,0.8534890031951172,13,2019
ES63,0.08927500628253754,0.7688259072723025,13,2019
ES64,0.09180319920133655,0.7963490176536436,13,2019
ES70,0.04953669212280474,0.8843715832705425,13,2019
ES11,0.10738155366005527,0.6522956518937993,14,2019
ES12,0.05071592553891205,0.7832976026549375,14,2019
ES13,0.04508121974125593,0.8778427662025137,14,2019
ES21,0.05828779808168226,0.794131915514068,14,2019
ES22,0.09184157436558002,0.5893451520767266,14,2019
ES23,0.039802263015151,0.8216596772846677,14,2019
ES24,0.07035411691558081,0.8382018597909253,14,2019
ES30,0.05601788176267798,0.8738855705370173,14,2019
ES41,0.057361413611628054,0.8365161381512507,14,2019
ES42,0.05079507416477685,0.832249618607756,14,2019
